类目id,类目名称,淘宝主采集词数,淘宝副采集词数,京东主采集词数,京东副采集词数,主采集词,副采集词
,上衣,,,,,T恤女、衬衫女、卫衣女、雪纺衫女、毛衣女、马甲女、短袖女、开衫女、吊带女、背心女、针织衫女、POLO衫女,夏装女、冬装女、秋装女、春装女
,外套,,,,,风衣女、西装女、棒球服女、毛衣外套女、开衫女、棒球服女、运动服女、牛仔外套女、毛呢外套女、羽绒服女、棉衣女、棉服女、皮草女、皮衣女,短外套女、长外套女
,裙装,,,,,连衣裙、半身裙、旗袍、雪纺裙、牛仔裙、格子裙,长裙、短裙
,裤装,,,,,休闲裤女、牛仔裤女、西装裤女、打底裤女、棉裤女、羽绒裤女、牛仔短裤女、运动裤女、哈伦裤女、阔腿裤女、连体裤女、工装裤女、背带裤女,长裤女、短裤女
,特色女装,,,,,妈妈连衣裙、妈妈上衣、汉服女、旗袍女、礼服女、婚纱、中老年女装，大码女装,特色女装
,休闲食品,,,,,饼干、果脯、糖果、冻干、海味、蛋黄酥、巧克力、儿童零食、夏日特享、膨化食品、坚果、蛋糕、月饼、粽子、肉干,零食、节日食品、进口零食
,粮油调料,,,,,米、酱油、耗油、料酒、芝麻油、花生油、葵花籽油、大豆油、玉米油、菜籽油、调和油、核桃油、辣椒酱、番茄酱、豆瓣酱、沙拉酱、花生酱、调味酱、醋、陈醋，白醋、盐、酱菜、水产罐头、水果罐头、腐乳、午餐肉、香辛料、糖、榨菜、鸡精、咖喱、火锅调料、杂粮、豆、粉、面,油、粉面、罐头、调味料、五谷杂粮、烘焙
,方便速食,,,,,方便面、舒适、粉丝、米线、冷面、煎饼、快手菜、速冻、面点、下饭菜、火腿肠、挂面,方便食品、
,酒水乳饮,,,,,白酒、洋酒、啤酒、果酒、红酒、鸡尾酒、黄酒、养生酒、白葡萄酒、保健酒,酒、水、饮料、冲调、茶
,生鲜食品,,,,,苹果、柑、橘、芒果、椰子、橙子、奇异果、火龙果、草莓、樱桃、百香果、榴莲、西瓜、菠萝、鱼、虾、蟹、贝类、章鱼、鱿鱼、海产干货、叶菜、根茎类、葱、姜、蒜、菌类、菇类、瓜类、红薯、玉米、萝卜、山药、,水果、水产、肉类、蔬菜、冻食
,童装童鞋,,,,,儿童运动鞋、学步鞋、儿童皮鞋、儿童凉拖、儿童靴子、老北京布鞋、儿童舞蹈鞋、鞋配件、哈衣爬服、婴儿肚兜、宝宝罩衣、儿童套装、儿童裙子、儿童裤子、儿童外套、儿童T恤、儿童内衣裤,童装、童鞋
,玩具,,,,,儿童电动车、扭扭车、儿童三轮车、儿童自行车、滑板车、学步车、儿童护具、益智玩具、拼装积木、毛绒抱枕、过家家玩具、洋娃娃、遥控玩具、户外玩具、玩具枪、早教故事机、戏水玩具、游艺机、乐器玩具、宝宝纪念品、婴儿健身器、粘土玩具、摇铃安抚玩具、涂色绘画,玩具车、儿童玩具
,孕产妇用品,,,,,待产用品、孕产妇护肤、产后塑身、妊娠纹护理、孕产妇彩妆、吸奶器、孕产妇营养、防溢乳垫、产妇洗发,
,尿裤湿巾,,,,,纸尿裤、婴儿湿巾、隔尿垫,
,婴儿用品,,,,,婴儿沐浴露、洗澡用具、儿童牙刷、宝宝个护、儿童润肤乳、儿童洗衣液、驱蚊用品、奶瓶、儿童水杯、儿童餐具、暖奶消毒、儿童餐椅、口水巾、奶嘴牙胶、奶瓶配件,洗护用品、哺乳喂养
,清洁工具,,,,,厨房清洁、扫把、浴室置物、浴室用品、镜子、梳子、垃圾清理、个人清洁,
,日用百货,,,,,雨具、防护用具、打火机、降温用品、礼品包装、剪刀、鞋用品、驱虫用品、保暖用品,
